scale,met,stat,cum,cv
decades,gpp,mean,298.8617274055601,0.7043205162916905
decades,gpp,min,252.73875,0.6381978447884818
decades,gpp,max,344.9847048111202,0.7704431877948991
decades,gpp,cv,0.21825390875645925,0.13276850050105776
decades,er,mean,566.857951035086,0.4622190553988785
decades,er,min,422.4275,0.38253543581975546
decades,er,max,711.2884020701719,0.5419026749780015
decades,er,cv,0.36032925409356964,0.24380140583024412
sites,gpp,mean,349.6122539962553,0.8268050592049723
sites,gpp,min,309.85338794069037,0.7119555595127316
sites,gpp,max,426.6644559096107,0.9955053946269488
sites,gpp,cv,0.12498673623958524,0.13720215667512087
sites,er,mean,1049.7653685893686,0.6786295755537111
sites,er,min,711.2884020701719,0.5419026749780015
sites,er,max,1630.208776457409,0.8340361564673031
sites,er,cv,0.3225542496357467,0.16595976433235748
years,gpp,mean,342.22222385159813,0.9198283212577246
years,gpp,min,205.40812286866102,0.7925568623164364
years,gpp,max,457.6238670293495,1.0694422718321455
years,gpp,cv,0.27266692427795314,0.1257945006042477
years,er,mean,1325.022761914538,0.621771655708333
years,er,min,1018.2313686498646,0.4092393283573346
years,er,max,1630.208776457409,0.8340361564673031
years,er,cv,0.19784738360704973,0.27592728986352094
