"","CI95_lower","median","CI95_upper","met","era","prop"
"1",0.628636363636364,0.696181818181818,0.76955,"GPP","then","year"
"2",1.0386166000814,1.09810361366941,1.15782547124751,"GPP","now","year"
"3",1.227,1.14263636363636,1.06418181818182,"ER","then","year"
"4",2.07466861976622,1.97841122176432,1.88334238225503,"ER","now","year"
"5",0.505818181818182,0.572181818181818,0.640363636363636,"GPP","then","oct_nov"
"6",0.275501456458756,0.291077045575207,0.306959658725318,"GPP","now","oct_nov"
"7",1.57218181818182,1.442,1.31563636363636,"ER","then","oct_nov"
"8",2.48143491930356,2.3764221564667,2.27529565308488,"ER","now","oct_nov"
"9",0.722272727272727,0.777454545454546,0.837454545454545,"GPP","then","mar_apr"
"10",1.27306671969106,1.33936674995629,1.40908931851172,"GPP","now","mar_apr"
"11",1.337275,1.24936363636364,1.17118181818182,"ER","then","mar_apr"
"12",1.87608209002682,1.78131496627653,1.68094737145093,"ER","now","mar_apr"
"13",0.439107142857143,0.484821428571429,0.530178571428571,"GPP","then","jul_aug"
"14",1.09990701236454,1.13517550408014,1.17133027360941,"GPP","now","jul_aug"
"15",0.902142857142857,0.86375,0.826785714285714,"ER","then","jul_aug"
"16",1.76068358620084,1.72122771224239,1.68257650658928,"ER","now","jul_aug"
"17",0.999090909090909,1.11163636363636,1.23364090909091,"GPP","then","jan_feb"
"18",1.35482482268051,1.40801963218684,1.45907729238909,"GPP","now","jan_feb"
"19",1.09436818181818,1.06672727272727,1.03763636363636,"ER","then","jan_feb"
"20",1.41765287243391,1.31335270703141,1.21907687756182,"ER","now","jan_feb"
