site,year,method,missing_data,bad_flow,neg_GPP,pos_ER,bad_Rhat,lost_GPP,lost_ER,total_days,gpp_mean,gpp_median,gpp_max,gpp_cv,er_mean,er_median,er_max,er_cv,peak_gpp,peak_er,gpp_cum,er_cum,daterange,pctcoverage,days,gpp_min,er_min,era
CBP,2019,uninformed_raymond,79,56,1,0,0,125,124,387,0.37519391160437593,0.3150857321140455,1.4521016114812886,0.7704431877948991,0.7166713587534687,0.656091931816707,2.444105432803644,0.5419026749780015,2019-04-25,2019-04-05,129.4927118593325,266.987674565417,2019-03-07 - 2020-02-29,0.7277777777777777,282,NA,NA,NA
NHC,2017,uninformed_raymond,41,49,11,0,0,86,78,365,0.20440617314336987,0.10719982635661239,0.8948338575479139,1.0694422718321455,1.7473933515085551,1.393978825429198,5.256200732126465,0.6285210061029435,2017-04-03,2017-10-07,77.10154826359857,606.0037587758486,2017-03-01 - 2018-02-28,0.7643835616438356,279,NA,NA,NA
NHC,2018,uninformed_raymond,75,92,14,0,2,157,144,365,0.3955623639525848,0.30677617807427315,1.431860915270359,0.7925568623164364,1.0448031739453705,1.002549805843058,2.9720588089683755,0.43870085118051605,2019-02-04,2018-04-10,136.09282679059362,396.36242868322694,2018-03-01 - 2019-02-28,0.5698630136986301,208,NA,NA,NA
NHC,2019,uninformed_raymond,26,59,12,1,10,96,84,390,0.3352603651777204,0.25994244012015694,1.3691193766482406,0.8945092986346229,1.0628637813800113,0.9537932723268223,6.430350326382727,0.8340361564673031,2019-03-21,2019-09-29,118.62556107572463,382.20112192771205,2019-03-06 - 2020-03-19,0.7736842105263158,302,NA,NA,NA
PM,2019,uninformed_raymond,59,56,0,1,0,103,104,387,0.32896639337631517,0.26333043232072273,0.9756070787152709,0.7119555595127316,0.7000701183512932,0.6703217124744278,3.002617436782981,0.5819099439497548,2019-06-17,2019-04-19,116.305896822903,282.2366033661766,2019-03-07 - 2020-03-06,0.7759562841530054,300,NA,NA,NA
UNHC,2017,uninformed_raymond,29,49,9,2,1,79,73,365,0.2966946573919066,0.18348041771530857,1.4685149530047812,1.0547071811856217,1.446793932736713,1.007937169656903,4.818607171061694,0.7724844967356143,2017-04-09,2017-11-21,106.99027150066539,493.0563601464816,2017-03-01 - 2018-02-28,0.7835616438356164,286,NA,NA,NA
UNHC,2018,uninformed_raymond,61,92,3,0,6,133,131,365,0.49990414092844593,0.36661910342457155,1.868656472369157,0.8335248671265827,1.3443417149091825,1.310824174120597,3.7254014259532973,0.4092393283573346,2019-02-04,2018-05-18,171.7727039105384,494.61074411022906,2018-03-01 - 2019-02-28,0.6356164383561644,232,NA,NA,NA
UNHC,2019,uninformed_raymond,40,59,3,0,0,87,86,390,0.4389742193557598,0.37415329689540744,1.780845698519718,0.8742294464509388,1.6195286733446876,1.320577553190846,9.169496240832094,0.6476480954062865,2019-03-21,2019-04-09,160.1518463839478,611.9116367084506,2019-03-06 - 2020-03-19,0.7973684210526316,311,NA,NA,NA
WB,2019,uninformed_raymond,38,56,17,14,4,103,101,387,0.378964659918728,0.30494953808760106,1.6757576305728954,0.7141874682096926,0.9333159786445385,0.8503991856208851,5.985113804388578,0.6866679493443215,2019-04-06,2019-04-07,139.27423030182092,365.82687674586094,2019-03-07 - 2020-03-19,0.7493403693931399,290,NA,NA,NA
WBP,2019,uninformed_raymond,27,57,0,0,0,72,72,382,0.33759912445840523,0.24805179445574896,2.034182367902228,0.9955053946269488,1.2849058298276763,0.9928698683654684,4.455557204049473,0.7796126331765991,2019-03-21,2019-09-29,123.52794576943883,455.06202190414575,2019-03-07 - 2020-03-19,0.8179419525065963,312,NA,NA,NA
CBP,NA,direct_calculation,NA,1,NA,NA,NA,NA,NA,365,0.3057224848104731,0.2430441980748797,1.182377179823739,0.7125220600275236,0.4930131010343319,0.43166151009438086,1.343781048815551,0.4339963110560008,1969-03-08,1969-03-02,98.27384233780236,166.12680894899682,NA,0.1589041095890411,58,0.0788251453215826,0.14638955559722483,then
BLK,NA,direct_calculation,NA,0,NA,NA,NA,NA,NA,365,0.23084506844177763,0.19330928495530972,0.4804580286267892,0.599960024981719,0.5550603983061442,0.5874350115632228,0.8633230201887617,0.40753841626916415,NA,NA,NA,NA,NA,0.021917808219178082,8,0.10134661541346335,0.22146112257016062,then
WB,NA,direct_calculation,NA,0,NA,NA,NA,NA,NA,365,0.35249513037746677,0.2702576411025689,0.5855582223888993,0.38958307085674637,0.8066781105637284,0.7657299831239452,1.2649559034939684,0.33441380539915627,NA,NA,NA,NA,NA,0.030136986301369864,11,0.22146112257016062,0.33782205137821114,then
CBP,1968,direct_calculation,NA,0,NA,NA,NA,NA,NA,365,0.2723429624073727,0.2721344302768923,0.5667903306456654,0.5416963427743323,0.4371876115521109,0.42790793174573405,0.6718905244077755,0.3619526828142639,1969-03-20,1968-10-03,97.73195080747391,156.22826515157294,NA,0.049315068493150684,18,0.0788251453215826,0.14638955559722483,then
CBP,1969,direct_calculation,NA,1,NA,NA,NA,NA,NA,365,0.31640457491828533,0.21395396587286705,1.182377179823739,0.8105113011747861,0.5011579092259443,0.41477040752547034,1.343781048815551,0.4762441700803976,1970-03-08,1970-03-03,111.67252583420377,195.07241006609482,NA,0.09315068493150686,34,0.08633230201887619,0.21395396587286705,then
