year,site,fall_mean
1985,NHC,1.5209850537402798
1986,NHC,0.13697703687412416
1987,NHC,0.2945421778739873
1988,NHC,0.4489955860843236
1989,NHC,0.6918817009077302
1990,NHC,0.3703576409050103
1991,NHC,0.39982384720564673
1992,NHC,0.89306875474817
1993,NHC,0.24090092014415496
1994,NHC,0.29829658293640904
1995,NHC,0.7480261672821189
1996,NHC,2.3846835662256685
1997,NHC,0.2501215864159389
1998,NHC,0.1873388585310422
1999,NHC,2.789634133694175
2000,NHC,0.23376405189423213
2001,NHC,0.1870851266102317
2002,NHC,1.1056929708828354
2003,NHC,0.28105453839604466
2004,NHC,0.5883952622964684
2005,NHC,0.22201173479177017
2006,NHC,1.5101266850701718
2007,NHC,0.16260301167855104
2008,NHC,0.8733091416676211
2009,NHC,0.5546274612023603
2010,NHC,0.28356001321231283
2011,NHC,0.34571689377430503
2012,NHC,0.39646035138584074
2013,NHC,0.298868775974249
2014,NHC,0.29673249970402865
2015,NHC,0.9671923002480086
2016,NHC,2.7004451014281776
2017,NHC,0.15663940715650498
2018,NHC,1.5903047894336255
2019,NHC,0.24982639867894119
