term,estimate,std.error,model
ar1,0.5160054843159313,0.027920044663172792,GPP
intercept,-1.7318645382974422,0.16200616534719595,GPP
water_temp,-0.050697490235826065,0.14877588865719885,GPP
light,0.6105212420660593,0.1286223290943145,GPP
CBP_intercept,1.0175556996563668,0.33547699747053755,GPP
sigma2,5.801214432842247,NA,GPP
r2,0.3483422876006468,NA,GPP
ar1,0.5567957266404189,0.026955214411187783,ER
intercept,0.8121200187360582,0.09488223238434239,ER
light,0.03889531801630927,0.06906472775988273,ER
water_temp,0.33762395355037517,0.09032127769098405,ER
log_Q,-0.12151595506850202,0.09403173790162919,ER
CBP_intercept,-0.5803883271828963,0.19559606585705572,ER
sigma2,1.6474727910230356,NA,ER
r2,0.3388918671442796,NA,ER
