variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,model
b_Intercept,-1.1231356746345513,-1.2185089016279074,1.3972644626965722,0.8340015447139113,-3.1238827550181245,1.1470661919920166,1.0031892636123398,1197.0726237644683,1096.3183227571215,GPP
b_temp.water,-0.04726918324874528,-0.044838986773237464,0.1487786038948513,0.14623903305792943,-0.2941103025020222,0.19322526413684243,1.0000831033582842,3633.980659630833,3306.27927570378,GPP
b_light,0.6139994271167324,0.6109919380839517,0.1262567991978842,0.12867136820594882,0.41132037574379293,0.8268700018839416,1.0003948902688464,2750.0834988551396,2976.3740100665236,GPP
ar[1],0.5193408395310427,0.5197225900562348,0.028496061547027027,0.02879957939254064,0.4723233128974283,0.5663165274396436,1.0007775800731935,2743.3100074761114,2612.0214796621312,GPP
sd_site__Intercept,1.6971711335299333,1.2737633519770362,1.4488570496501163,0.917815649734916,0.3563371343421129,4.486374268933146,1.0019822113742551,1564.753845920378,2184.5853087176306,GPP
sigma,2.4091184832703667,2.4090804189107353,0.05442661160658562,0.05467851697076834,2.3207799482086022,2.499469374584424,0.9997241795745764,3333.2828045794486,2784.4318109842557,GPP
"r_site[CBP,Intercept]",0.3576285695197222,0.38712327344892683,1.3951287173068312,0.8125694776602759,-1.8767292028708678,2.442507893192956,1.0031154809208302,1225.8447737146803,1184.08538699525,GPP
"r_site[NHC,Intercept]",-0.5902909392063176,-0.4817539122863039,1.3992617229612134,0.8428247071546657,-2.8961147688188693,1.395139950609053,1.003135712280864,1172.9440946900086,1132.399591934638,GPP
b_Intercept,0.5274739152193599,0.5367762171930918,1.1214221929585009,0.6118967917435054,-1.2028320600649522,2.212006825593827,1.0031841439186553,1561.2520085381243,1406.0935344446007,ER
b_temp.water,0.33287523265937585,0.33311196937568455,0.09111319154038214,0.08800533603455518,0.1818079697510491,0.4842721529449105,1.002152465626611,4156.129555927497,3037.5234641111692,ER
b_light,0.020835046613670104,0.020442343204639477,0.07054209795805395,0.06909956506232674,-0.09425764125039626,0.13618180073084832,1.0007751703885077,3760.8504683522287,2912.2332581574396,ER
b_log_Q,-0.13599969056881858,-0.13608011816335946,0.09187187697627083,0.09492334332470863,-0.2850067579244264,0.015201720913538778,1.0013976161207205,2701.4798635669713,3341.8128817441034,ER
ar[1],0.5432542863095384,0.5429298605901769,0.027062692881986896,0.027122719558181043,0.49875110185029486,0.5877668922407174,1.0009850700310106,3782.8679101601515,2297.993274937429,ER
sd_site__Intercept,1.3709727215965257,0.9597719894708873,1.3436498433431032,0.7921758087700139,0.23040821002356965,3.8329750294155307,1.0007280720077891,1416.004392874868,1968.1434175420081,ER
sigma,1.2940300807035499,1.2935113584339388,0.027991028552107163,0.027851415673792294,1.2491637353556937,1.3420179043686091,1.000308714662024,4059.0011700335986,2991.31060089524,ER
"r_site[CBP,Intercept]",-0.29648314072364107,-0.2730360979533303,1.1211886338382326,0.6289581096749219,-2.017875629668732,1.4172601257510706,1.0029155585623364,1543.2294732743198,1395.3715532092656,ER
"r_site[NHC,Intercept]",0.2685269771880507,0.25223981262535866,1.1227224775703006,0.6213175089878786,-1.4077584618935028,2.011888173247455,1.003183773329428,1597.2352901289803,1395.5622055043602,ER
